INDV,MEAN_DEPTH,F_MISS,E.HOM.,Fis,POP,INDV_new,Field_ID,Loc
Cyb-FLS_MGL-16203,99.5614,0.00744272,8656.2,-0.07802,Cyb-FLS,Cyb-FLS_MGL-16203,Cyb,FLS
Cyb-FLS_MGL-16205,106.167,0.00719184,8666,0.02667,Cyb-FLS,Cyb-FLS_MGL-16205,Cyb,FLS
Cyb-FLS_MGL-16210,106.995,0.0139655,8613.7,0.02097,Cyb-FLS,Cyb-FLS_MGL-16210,Cyb,FLS
Cyb-FLS_MGL-16215,358.519,0.00685733,8663.8,0.03855,Cyb-FLS,Cyb-FLS_MGL-16215,Cyb,FLS
Cyb-FLS_MGL-16222,62.0053,0.0332832,8440.9,0.0713,Cyb-FLS,Cyb-FLS_MGL-16222,Cyb,FLS
Cyb-FLS_MGL-16235,109.641,0.00301054,8694.7,0.15532,Cyb-FLS,Cyb-FLS_MGL-16235,Cyb,FLS
Cyb-FLS_MGL-16247,121.025,0.0131293,8615.3,-0.00987,Cyb-FLS,Cyb-FLS_MGL-16247,Cyb,FLS
Cyb-FLS_MGL-16262,57.4022,0.0251714,8522.2,0.04645,Cyb-FLS,Cyb-FLS_MGL-16262,Cyb,FLS
Cyb-FLS_MGL-16263,111.848,0.0057702,8678.9,0.11751,Cyb-FLS,Cyb-FLS_MGL-16263,Cyb,FLS
Cyb-FLS_MGL-16264,209.741,0.0117076,8626.3,-0.1085,Cyb-FLS,Cyb-FLS_MGL-16264,Cyb,FLS
Cyb-FLS_MGL-16266,149.147,0.00551932,8673.2,0.17359,Cyb-FLS,Cyb-FLS_MGL-16266,Cyb,FLS
Cyb-FLS_MGL-16267,172.435,0.00978424,8650.7,0.01682,Cyb-FLS,Cyb-FLS_MGL-16267,Cyb,FLS
Cyb-FLS_MGL-16268,75.8755,0.0148018,8603.7,-0.00529,Cyb-FLS,Cyb-FLS_MGL-16268,Cyb,FLS
Cyb-FLS_MGL-16269,157.354,0.00986787,8646.2,0.08589,Cyb-FLS,Cyb-FLS_MGL-16269,Cyb,FLS
Cyb-FLS_MGL-16271,89.2958,0.013631,8610.8,0.19829,Cyb-FLS,Cyb-FLS_MGL-16271,Cyb,FLS
Cyb-FLS_MGL-16272,164.537,0.00677371,8668.8,0.03549,Cyb-FLS,Cyb-FLS_MGL-16272,Cyb,FLS
Cyb-FLS_MGL-16274,113.55,0.00434855,8680.9,0.09641,Cyb-FLS,Cyb-FLS_MGL-16274,Cyb,FLS
Cyb-FLS_MGL-16275,50.5377,0.034203,8438,0.03976,Cyb-FLS,Cyb-FLS_MGL-16275,Cyb,FLS
Cyb-FLS_MGL-16276,103.35,0.0083626,8649.9,-0.11661,Cyb-FLS,Cyb-FLS_MGL-16276,Cyb,FLS
Cyb-FLS_MGL-16277,64.9772,0.0204047,8549.9,-0.08356,Cyb-FLS,Cyb-FLS_MGL-16277,Cyb,FLS
Cyb-HEAD_MGL-16120,37.0076,0.0458271,8321,-0.05176,Cyb-HEAD,Cyb-HEAD_MGL-16120,Cyb,HEAD
Cyb-HEAD_MGL-16123,58.2742,0.0216591,8532.4,0.06849,Cyb-HEAD,Cyb-HEAD_MGL-16123,Cyb,HEAD
Cyb-HEAD_MGL-16124,183.644,0.00886436,8638.9,-0.04285,Cyb-HEAD,Cyb-HEAD_MGL-16124,Cyb,HEAD
Cyb-HEAD_MGL-16128_dup,125.61,0.0122094,8608.2,-0.24813,Cyb-HEAD,Cyb-HEAD_MGL-16128,Cyb,HEAD
Cyb-HEAD_MGL-16128,70.2702,0.0112895,8615.3,-0.25006,Cyb-HEAD,Cyb-HEAD_MGL-16128,Cyb,HEAD
Cyb-HEAD_MGL-16130,72.4308,0.0119585,8628.7,0.14439,Cyb-HEAD,Cyb-HEAD_MGL-16130,Cyb,HEAD
Cyb-HEAD_MGL-16131,126.949,0.00476668,8682,-0.00906,Cyb-HEAD,Cyb-HEAD_MGL-16131,Cyb,HEAD
Cyb-HEAD_MGL-16132,167.728,0.00685733,8666.4,0.04435,Cyb-HEAD,Cyb-HEAD_MGL-16132,Cyb,HEAD
Cyb-HEAD_MGL-16143,61.9734,0.0155544,8587.3,-0.15977,Cyb-HEAD,Cyb-HEAD_MGL-16143,Cyb,HEAD
Cyb-HEAD_MGL-16174,136.647,0.00735909,8670,0.11365,Cyb-HEAD,Cyb-HEAD_MGL-16174,Cyb,HEAD
Cyb-HEAD_MGL-16176,198.776,0.00861348,8650.1,-0.03361,Cyb-HEAD,Cyb-HEAD_MGL-16176,Cyb,HEAD
Cyb-HEAD_MGL-16178,416.316,0.00250878,8701.8,0.26728,Cyb-HEAD,Cyb-HEAD_MGL-16178,Cyb,HEAD
Cyb-HEAD_MGL-16179,73.8567,0.0358756,8428.7,0.00335,Cyb-HEAD,Cyb-HEAD_MGL-16179,Cyb,HEAD
Cyb-HEAD_MGL-16181,184.601,0.00878073,8648.1,0.12074,Cyb-HEAD,Cyb-HEAD_MGL-16181,Cyb,HEAD
Cyb-HEAD_MGL-16182,215.746,0.0118749,8630.3,-0.07706,Cyb-HEAD,Cyb-HEAD_MGL-16182,Cyb,HEAD
Cyb-HEAD_MGL-16183,294.948,0.00158889,8706.7,0.06573,Cyb-HEAD,Cyb-HEAD_MGL-16183,Cyb,HEAD
Cyb-HEAD_MGL-16184,251.803,0.00677371,8661.8,0.11146,Cyb-HEAD,Cyb-HEAD_MGL-16184,Cyb,HEAD
Cyb-HEAD_MGL-16189,47.594,0.0931594,7904.1,-0.05745,Cyb-HEAD,Cyb-HEAD_MGL-16189,Cyb,HEAD
Cyb-HEAD_MGL-16190,34.8058,0.101355,7863.7,0.10204,Cyb-HEAD,Cyb-HEAD_MGL-16190,Cyb,HEAD
Cyb-HEAD_MGL-16191,90.9935,0.00735909,8656.3,0.0043,Cyb-HEAD,Cyb-HEAD_MGL-16191,Cyb,HEAD
Cyb-HEAD_MGL-16192,63.1224,0.00677371,8665.7,0.14666,Cyb-HEAD,Cyb-HEAD_MGL-16192,Cyb,HEAD
Cyb-HEAD_MGL-16198,92.1903,0.0124603,8615.6,-0.06506,Cyb-HEAD,Cyb-HEAD_MGL-16198,Cyb,HEAD
Cyb-USFW_MGL-19006,277.196,0.00535207,8673.2,0.05646,Cyb-USFW,Cyb-USFW_MGL-19006,Cyb,USFW
Cyb-USFW_MGL-19007,174.006,0.00434855,8687.1,0.20117,Cyb-USFW,Cyb-USFW_MGL-19007,Cyb,USFW
Cyb-USFW_MGL-19010,207.735,0.00936611,8647,-0.11353,Cyb-USFW,Cyb-USFW_MGL-19010,Cyb,USFW
Cyb-USFW_MGL-19011,173.575,0.0057702,8672.3,-0.17242,Cyb-USFW,Cyb-USFW_MGL-19011,Cyb,USFW
Cyb-USFW_MGL-19012,84.2237,0.00727546,8652,-0.2175,Cyb-USFW,Cyb-USFW_MGL-19012,Cyb,USFW
Cyb-USFW_MGL-19013,74.8174,0.0105369,8635.5,-0.04921,Cyb-USFW,Cyb-USFW_MGL-19013,Cyb,USFW
Cyb-USFW_MGL-19016,46.5735,0.0121258,8627.1,0.07733,Cyb-USFW,Cyb-USFW_MGL-19016,Cyb,USFW
Cyb-USFW_MGL-19018,94.3564,0.0147182,8597.7,-0.14319,Cyb-USFW,Cyb-USFW_MGL-19018,Cyb,USFW
Cyb-USFW_MGL-19020,46.2709,0.0377153,8385,-0.2789,Cyb-USFW,Cyb-USFW_MGL-19020,Cyb,USFW
Cyb-USFW_MGL-19022,111.43,0.0117076,8614.5,-0.19912,Cyb-USFW,Cyb-USFW_MGL-19022,Cyb,USFW
Cyb-USFW_MGL-19023,40.5096,0.0176451,8560.3,-0.13013,Cyb-USFW,Cyb-USFW_MGL-19023,Cyb,USFW
Cyb-USFW_MGL-19025,125.521,0.0111223,8629.6,0.0524,Cyb-USFW,Cyb-USFW_MGL-19025,Cyb,USFW
Cyb-USFW_MGL-19026,92.9519,0.0061047,8667.2,-0.09849,Cyb-USFW,Cyb-USFW_MGL-19026,Cyb,USFW
Cyb-USFW_MGL-19028,187.581,0.013631,8602.7,-0.00526,Cyb-USFW,Cyb-USFW_MGL-19028,Cyb,USFW
Cyb-USFW_MGL-19029,173.147,0.00827898,8661.2,-0.07462,Cyb-USFW,Cyb-USFW_MGL-19029,Cyb,USFW
Cyb-USFW_MGL-19030,301.578,0.00543569,8670.2,-0.13862,Cyb-USFW,Cyb-USFW_MGL-19030,Cyb,USFW
Cyb-USFW_MGL-19031,116.992,0.00894798,8650.2,0.09643,Cyb-USFW,Cyb-USFW_MGL-19031,Cyb,USFW
Cyb-USFW_MGL-19034,46.3377,0.0168088,8573,0.0101,Cyb-USFW,Cyb-USFW_MGL-19034,Cyb,USFW
Cyb-USFW_MGL-19036,107.23,0.00685733,8660.2,0.02871,Cyb-USFW,Cyb-USFW_MGL-19036,Cyb,USFW
Cyb-USFW_MGL-19037,48.7297,0.0211574,8531.7,-0.05792,Cyb-USFW,Cyb-USFW_MGL-19037,Cyb,USFW
Cyb-USFW_MGL-19038,193.937,0.00476668,8679.4,-0.01698,Cyb-USFW,Cyb-USFW_MGL-19038,Cyb,USFW
Cyb-USFW_MGL-19041,45.6999,0.0130457,8608.7,-0.19492,Cyb-USFW,Cyb-USFW_MGL-19041,Cyb,USFW
Cyb-USFW_MGL-19042,87.2433,0.026844,8481.9,-0.09837,Cyb-USFW,Cyb-USFW_MGL-19042,Cyb,USFW
Cyb-USFW_MGL-19043,69.7563,0.019234,8545.2,-0.10244,Cyb-USFW,Cyb-USFW_MGL-19043,Cyb,USFW
Cyb-USFW_MGL-19044,142.636,0.00786085,8652.5,-0.07777,Cyb-USFW,Cyb-USFW_MGL-19044,Cyb,USFW
Cyb-USFW_MGL-19046,30.9827,0.0591236,8219.6,-0.10892,Cyb-USFW,Cyb-USFW_MGL-19046,Cyb,USFW
Cyb-USFW_MGL-19048,106.149,0.0150527,8594.4,-0.11258,Cyb-USFW,Cyb-USFW_MGL-19048,Cyb,USFW
Cyb-USFW_MGL-19052,143.691,0.00677371,8659.5,-0.0639,Cyb-USFW,Cyb-USFW_MGL-19052,Cyb,USFW
Cyb-USFW_MGL-19053,37.5089,0.0269276,8492.8,-0.16087,Cyb-USFW,Cyb-USFW_MGL-19053,Cyb,USFW
Cyb-USFW_MGL-19050,225.843,0.00359592,8694.4,0.13811,Cyb-USFW,Cyb-USFW_MGL-19050,Cyb,USFW
Cyb-USFW_MGL-19052_dup,292.538,0.00267603,8698.1,-0.0779,Cyb-USFW,Cyb-USFW_MGL-19052,Cyb,USFW
Cyb-USFW_MGL-19055,89.4617,0.012962,8611.7,-0.01504,Cyb-USFW,Cyb-USFW_MGL-19055,Cyb,USFW
